interaction_id,user_id,place_id,type,rating,dwell_sec,timestamp
i_000001,u_0001,p_0013,view,,169,2025-08-13T18:51:43
i_000002,u_0001,p_0061,save,,,2025-08-12T18:00:43
i_000003,u_0001,p_0116,save,4.6,,2025-09-07T13:29:43
i_000004,u_0001,p_0019,view,,242,2025-09-20T17:24:43
i_000005,u_0001,p_0102,view,,242,2025-08-28T23:56:43
i_000006,u_0001,p_0044,checkin,,,2025-10-24T07:58:43
i_000007,u_0001,p_0004,click,4.6,286,2025-10-06T12:48:43
i_000008,u_0001,p_0043,view,,147,2025-09-01T08:12:43
i_000009,u_0001,p_0115,view,,206,2025-10-05T09:53:43
i_000010,u_0001,p_0014,view,,167,2025-10-30T10:53:43
i_000011,u_0001,p_0106,view,,176,2025-08-26T14:01:43
i_000012,u_0001,p_0011,view,,221,2025-07-13T13:39:43
i_000013,u_0001,p_0011,save,3.1,,2025-08-25T01:19:43
i_000014,u_0001,p_0014,view,,253,2025-08-18T19:23:43
i_000015,u_0001,p_0104,view,,146,2025-11-04T10:21:43
i_000016,u_0002,p_0055,click,,159,2025-10-16T07:57:43
i_000017,u_0002,p_0117,click,4.1,118,2025-09-03T07:32:43
i_000018,u_0002,p_0118,checkin,,,2025-07-20T16:06:43
i_000019,u_0002,p_0060,view,,210,2025-10-26T11:14:43
i_000020,u_0002,p_0002,click,,240,2025-09-13T06:33:43
i_000021,u_0002,p_0043,click,,97,2025-07-15T00:22:43
i_000022,u_0002,p_0007,click,3.8,159,2025-07-13T14:05:43
i_000023,u_0002,p_0112,click,5.0,373,2025-08-21T09:16:43
i_000024,u_0002,p_0042,view,,83,2025-09-12T02:06:43
i_000025,u_0002,p_0057,view,,144,2025-09-11T07:02:43
i_000026,u_0002,p_0057,view,,110,2025-09-27T01:27:43
i_000027,u_0002,p_0009,view,,269,2025-09-18T00:10:43
i_000028,u_0002,p_0110,view,,343,2025-10-07T20:24:43
i_000029,u_0002,p_0017,click,4.8,252,2025-09-20T02:16:43
i_000030,u_0002,p_0001,click,3.7,350,2025-08-04T17:07:43
i_000031,u_0002,p_0109,view,,241,2025-10-23T16:46:43
i_000032,u_0002,p_0104,click,,122,2025-09-19T21:46:43
i_000033,u_0002,p_0051,view,,20,2025-09-28T10:52:43
i_000034,u_0003,p_0006,view,,405,2025-09-03T13:57:43
i_000035,u_0003,p_0050,click,3.0,290,2025-07-19T15:17:43
i_000036,u_0003,p_0003,view,,207,2025-10-02T03:49:43
i_000037,u_0003,p_0019,save,4.6,,2025-09-29T22:47:43
i_000038,u_0003,p_0101,view,,280,2025-09-16T09:37:43
i_000039,u_0003,p_0065,view,,199,2025-11-01T07:21:43
i_000040,u_0003,p_0112,save,,,2025-08-15T08:27:43
i_000041,u_0003,p_0012,checkin,3.4,,2025-09-15T22:25:43
i_000042,u_0003,p_0042,click,,148,2025-08-15T19:29:43
i_000043,u_0003,p_0006,click,,136,2025-10-08T22:56:43
i_000044,u_0003,p_0105,view,,288,2025-08-03T02:04:43
i_000045,u_0003,p_0116,view,,225,2025-08-17T15:19:43
i_000046,u_0003,p_0007,save,5.0,,2025-08-01T13:06:43
i_000047,u_0003,p_0004,click,,290,2025-07-26T14:02:43
i_000048,u_0003,p_0108,view,,390,2025-08-02T18:26:43
i_000049,u_0003,p_0003,save,,,2025-09-20T19:37:43
i_000050,u_0004,p_0050,click,4.0,96,2025-08-08T20:55:43
i_000051,u_0004,p_0006,view,,212,2025-07-17T11:24:43
i_000052,u_0004,p_0116,view,,198,2025-08-29T12:37:43
i_000053,u_0004,p_0011,checkin,3.9,,2025-10-01T02:04:43
i_000054,u_0004,p_0110,view,,221,2025-09-11T05:18:43
i_000055,u_0004,p_0044,click,,20,2025-09-03T03:46:43
i_000056,u_0004,p_0107,save,4.2,,2025-09-05T13:55:43
i_000057,u_0004,p_0009,click,3.1,181,2025-08-23T07:18:43
i_000058,u_0004,p_0111,view,,228,2025-07-23T11:49:43
i_000059,u_0004,p_0114,view,,128,2025-08-22T00:47:43
i_000060,u_0004,p_0105,view,,161,2025-08-23T22:37:43
i_000061,u_0004,p_0015,view,,132,2025-07-29T23:21:43
i_000062,u_0004,p_0118,click,,20,2025-09-25T14:46:43
i_000063,u_0004,p_0012,click,,178,2025-09-21T18:04:43
i_000064,u_0004,p_0112,click,5.0,93,2025-10-28T09:06:43
i_000065,u_0004,p_0054,view,,202,2025-10-09T03:32:43
i_000066,u_0004,p_0018,click,4.3,266,2025-09-14T01:01:43
i_000067,u_0004,p_0018,view,,175,2025-10-21T10:19:43
i_000068,u_0005,p_0049,click,3.5,209,2025-10-17T15:46:43
i_000069,u_0005,p_0052,view,,20,2025-10-15T23:59:43
i_000070,u_0005,p_0104,view,,106,2025-10-17T02:42:43
i_000071,u_0005,p_0011,view,,228,2025-09-28T14:15:43
i_000072,u_0005,p_0103,save,3.4,,2025-10-10T23:43:43
i_000073,u_0005,p_0058,click,3.3,204,2025-07-31T10:53:43
i_000074,u_0005,p_0014,view,,234,2025-07-10T05:46:43
i_000075,u_0005,p_0107,view,,218,2025-10-22T18:39:43
i_000076,u_0005,p_0041,view,,125,2025-07-18T18:14:43
i_000077,u_0005,p_0006,view,,293,2025-09-21T17:19:43
i_000078,u_0005,p_0008,click,5.0,242,2025-09-29T08:14:43
i_000079,u_0005,p_0014,click,3.8,207,2025-10-27T09:29:43
i_000080,u_0005,p_0001,view,,226,2025-10-01T01:21:43
i_000081,u_0005,p_0110,save,4.7,,2025-07-17T23:36:43
i_000082,u_0005,p_0055,view,,205,2025-10-24T23:39:43
i_000083,u_0005,p_0008,click,4.2,252,2025-08-12T18:32:43
i_000084,u_0005,p_0114,click,,272,2025-09-27T16:03:43
i_000085,u_0005,p_0118,checkin,2.9,,2025-07-28T00:16:43
i_000086,u_0006,p_0065,view,,168,2025-09-19T05:44:43
i_000087,u_0006,p_0017,view,,205,2025-08-16T01:13:43
i_000088,u_0006,p_0065,click,3.1,175,2025-10-07T14:55:43
i_000089,u_0006,p_0109,view,,186,2025-07-07T19:43:43
i_000090,u_0006,p_0015,view,,252,2025-07-13T17:24:43
i_000091,u_0006,p_0058,checkin,,,2025-10-12T06:11:43
i_000092,u_0006,p_0012,view,,315,2025-10-18T15:48:43
i_000093,u_0006,p_0002,click,4.3,212,2025-09-13T23:21:43
i_000094,u_0006,p_0059,checkin,,,2025-07-19T00:56:43
i_000095,u_0006,p_0010,view,,137,2025-08-29T20:19:43
i_000096,u_0006,p_0112,view,,273,2025-08-09T05:51:43
i_000097,u_0006,p_0114,click,4.5,222,2025-08-07T14:04:43
i_000098,u_0006,p_0003,view,,293,2025-10-12T14:46:43
i_000099,u_0006,p_0110,click,3.0,161,2025-07-13T00:25:43
i_000100,u_0006,p_0108,view,,279,2025-09-28T09:09:43
i_000101,u_0006,p_0010,view,,77,2025-10-02T12:56:43
i_000102,u_0006,p_0015,checkin,,,2025-07-19T03:31:43
i_000103,u_0006,p_0106,save,,,2025-07-26T22:47:43
i_000104,u_0006,p_0013,click,,336,2025-09-26T12:25:43
i_000105,u_0006,p_0047,save,4.3,,2025-07-12T16:24:43
i_000106,u_0006,p_0060,view,,178,2025-07-17T08:29:43
i_000107,u_0006,p_0058,view,,99,2025-10-17T11:46:43
i_000108,u_0006,p_0119,click,,195,2025-07-29T19:39:43
i_000109,u_0006,p_0008,view,,324,2025-09-19T14:40:43
i_000110,u_0006,p_0007,view,,288,2025-09-16T10:04:43
i_000111,u_0006,p_0016,view,,258,2025-10-08T06:05:43
i_000112,u_0006,p_0108,view,,307,2025-07-30T10:14:43
i_000113,u_0006,p_0046,view,,211,2025-09-19T00:44:43
i_000114,u_0006,p_0009,view,,138,2025-08-11T06:01:43
i_000115,u_0006,p_0067,click,,259,2025-09-13T12:18:43
i_000116,u_0007,p_0052,view,,52,2025-09-09T02:16:43
i_000117,u_0007,p_0114,save,3.9,,2025-10-05T19:49:43
i_000118,u_0007,p_0016,click,5.0,323,2025-08-24T08:54:43
i_000119,u_0007,p_0067,save,3.5,,2025-10-07T15:11:43
i_000120,u_0007,p_0113,click,,281,2025-10-09T20:28:43
i_000121,u_0007,p_0107,save,5.0,,2025-10-25T19:42:43
i_000122,u_0007,p_0004,click,4.6,337,2025-10-31T03:55:43
i_000123,u_0007,p_0005,checkin,3.9,,2025-09-21T14:32:43
i_000124,u_0007,p_0015,view,,409,2025-07-22T05:22:43
i_000125,u_0007,p_0004,view,,161,2025-08-12T10:09:43
i_000126,u_0007,p_0053,checkin,4.3,,2025-07-12T07:55:43
i_000127,u_0007,p_0115,click,,231,2025-09-06T17:27:43
i_000128,u_0007,p_0050,click,3.6,118,2025-10-28T03:32:43
i_000129,u_0007,p_0018,view,,59,2025-10-28T11:20:43
i_000130,u_0007,p_0116,save,,,2025-07-09T07:09:43
i_000131,u_0007,p_0047,view,,294,2025-10-19T12:39:43
i_000132,u_0007,p_0001,click,,238,2025-10-12T10:22:43
i_000133,u_0007,p_0043,click,4.6,161,2025-07-19T17:34:43
i_000134,u_0007,p_0111,checkin,3.3,,2025-09-18T18:23:43
i_000135,u_0008,p_0105,view,,222,2025-07-17T15:19:43
i_000136,u_0008,p_0104,click,,294,2025-10-21T08:10:43
i_000137,u_0008,p_0101,view,,319,2025-10-21T08:57:43
i_000138,u_0008,p_0102,click,,180,2025-09-10T01:14:43
i_000139,u_0008,p_0057,checkin,4.2,,2025-10-08T17:26:43
i_000140,u_0008,p_0042,checkin,,,2025-07-08T19:58:43
i_000141,u_0008,p_0108,view,,303,2025-09-23T20:54:43
i_000142,u_0008,p_0041,view,,114,2025-09-04T22:01:43
i_000143,u_0008,p_0050,view,,216,2025-07-20T02:01:43
i_000144,u_0008,p_0010,view,,155,2025-10-18T01:47:43
i_000145,u_0008,p_0104,view,,265,2025-07-30T23:05:43
i_000146,u_0008,p_0047,click,4.1,114,2025-10-31T12:05:43
i_000147,u_0008,p_0014,click,3.2,161,2025-11-03T17:16:43
i_000148,u_0008,p_0007,view,,168,2025-09-02T21:49:43
i_000149,u_0008,p_0016,view,,326,2025-11-02T12:09:43
i_000150,u_0008,p_0001,view,,314,2025-09-28T16:09:43
i_000151,u_0008,p_0104,view,,269,2025-08-18T00:07:43
i_000152,u_0008,p_0104,click,5.0,93,2025-08-02T07:20:43
i_000153,u_0008,p_0107,view,,159,2025-07-14T22:53:43
i_000154,u_0008,p_0116,click,4.0,267,2025-08-22T03:14:43
i_000155,u_0008,p_0010,view,,207,2025-07-12T02:16:43
i_000156,u_0008,p_0116,click,,328,2025-07-13T20:20:43
i_000157,u_0008,p_0047,view,,222,2025-08-26T07:42:43
i_000158,u_0009,p_0114,checkin,4.7,,2025-08-25T23:05:43
i_000159,u_0009,p_0063,view,,159,2025-09-23T07:50:43
i_000160,u_0009,p_0012,view,,339,2025-08-10T17:08:43
i_000161,u_0009,p_0001,click,4.2,193,2025-08-02T00:49:43
i_000162,u_0009,p_0017,view,,359,2025-11-04T19:59:43
i_000163,u_0009,p_0007,view,,162,2025-09-02T22:36:43
i_000164,u_0009,p_0119,click,4.3,315,2025-10-25T06:59:43
i_000165,u_0009,p_0049,click,4.6,235,2025-10-18T17:13:43
i_000166,u_0009,p_0003,click,2.6,146,2025-10-01T16:15:43
i_000167,u_0009,p_0050,click,2.6,183,2025-10-31T09:18:43
i_000168,u_0009,p_0006,save,4.9,,2025-09-12T05:55:43
i_000169,u_0009,p_0063,view,,138,2025-10-27T01:36:43
i_000170,u_0009,p_0009,click,2.8,285,2025-07-20T19:58:43
i_000171,u_0009,p_0103,click,,151,2025-08-15T10:46:43
i_000172,u_0009,p_0018,save,,,2025-08-12T12:47:43
i_000173,u_0009,p_0107,view,,112,2025-08-03T19:13:43
i_000174,u_0009,p_0013,save,,,2025-10-14T13:38:43
i_000175,u_0009,p_0045,view,,213,2025-08-06T10:28:43
i_000176,u_0009,p_0008,checkin,4.5,,2025-08-31T20:09:43
i_000177,u_0009,p_0011,view,,149,2025-08-14T21:47:43
i_000178,u_0010,p_0103,checkin,,,2025-10-27T20:20:43
i_000179,u_0010,p_0011,view,,242,2025-09-30T05:11:43
i_000180,u_0010,p_0104,view,,280,2025-08-18T18:41:43
i_000181,u_0010,p_0014,click,,20,2025-08-17T21:22:43
