place_id,name,neighborhood,cluster_label,lat,lng,categories,price_level,rating,user_rating_count,ambience,veg_only,cat_list
p_0001,Pizza Grill & Co,Koregaon Park,KP date-night & Italian,18.542715,73.896372,"dessert,pizza,veg_only,vegan",2,4.81,50,"cozy,date",1,"['dessert', 'pizza', 'veg_only', 'vegan']"
p_0002,Bar Bistro & Co,Koregaon Park,KP date-night & Italian,18.540711,73.894607,"asian,bar,mexican",3,4.03,50,cozy,1,"['asian', 'bar', 'mexican']"
p_0003,Bar Trattoria Pune,Koregaon Park,KP date-night & Italian,18.539949,73.895021,"bar,veg_only",2,4.2,50,live_music,1,"['bar', 'veg_only']"
p_0004,Italian Trattoria & Co,Koregaon Park,KP date-night & Italian,18.537501,73.898429,"italian,mexican",1,4.01,50,live_music,1,"['italian', 'mexican']"
p_0005,Dessert Bar Spot,Koregaon Park,KP date-night & Italian,18.538784,73.896747,"dessert,italian",2,4.35,50,"study,group",0,"['dessert', 'italian']"
p_0006,Italian House Spot,Koregaon Park,KP date-night & Italian,18.53865,73.891396,"cafe,healthy,italian,pizza",3,3.89,50,"group,date",0,"['cafe', 'healthy', 'italian', 'pizza']"
p_0007,Asian Oven & Co,Koregaon Park,KP date-night & Italian,18.536713,73.895903,"asian,pizza,south_indian",1,4.44,50,"cozy,quiet",0,"['asian', 'pizza', 'south_indian']"
p_0008,Dessert Corner & Co,Koregaon Park,KP date-night & Italian,18.540778,73.889902,"bar,dessert,pizza",1,3.74,50,"date,group",0,"['bar', 'dessert', 'pizza']"
p_0009,Bar Bistro,Koregaon Park,KP date-night & Italian,18.538317,73.894861,"bar,veg_only",2,4.46,50,"quiet,date",1,"['bar', 'veg_only']"
p_0010,Asian Cucina Spot,Koregaon Park,KP date-night & Italian,18.540515,73.892077,"asian,south_indian",1,4.19,50,cozy,0,"['asian', 'south_indian']"
p_0011,South_Indian Bakery,Koregaon Park,KP date-night & Italian,18.53785,73.895061,"italian,south_indian,veg_only",1,4.58,50,outdoor,1,"['italian', 'south_indian', 'veg_only']"
p_0012,Pizza Cafe & Co,Koregaon Park,KP date-night & Italian,18.54138,73.892294,pizza,1,4.45,50,"date,study",0,['pizza']
p_0013,Asian Cucina Hub,Koregaon Park,KP date-night & Italian,18.538879,73.895557,"asian,mexican",1,4.42,50,live_music,0,"['asian', 'mexican']"
p_0014,Pizza Deli & Co,Koregaon Park,KP date-night & Italian,18.537805,73.889268,"bar,pizza",1,4.46,50,"group,cozy",0,"['bar', 'pizza']"
p_0015,Pizza Kitchen & Co,Koregaon Park,KP date-night & Italian,18.541636,73.89018,"north_indian,pizza",3,4.14,50,date,0,"['north_indian', 'pizza']"
p_0016,Pizza Corner Pune,Koregaon Park,KP date-night & Italian,18.540021,73.894424,pizza,2,4.13,50,"live_music,study,date",1,['pizza']
p_0017,Pizza Corner Pune,Koregaon Park,KP date-night & Italian,18.535264,73.894662,"dessert,italian,mexican,pizza",1,4.13,50,"date,quiet",0,"['dessert', 'italian', 'mexican', 'pizza']"
p_0018,South_Indian Cafe,Koregaon Park,KP date-night & Italian,18.540509,73.893314,"north_indian,south_indian",3,4.23,50,"quiet,date,outdoor",0,"['north_indian', 'south_indian']"
p_0019,Pizza Bistro Spot,Koregaon Park,KP date-night & Italian,18.539484,73.895302,"mexican,pizza",2,4.3,50,"study,live_music",0,"['mexican', 'pizza']"
p_0020,Italian Grill Hub,Kothrud,Kothrud budget cafes,18.508486,73.809138,"cafe,italian,north_indian,pizza",2,3.66,50,group,1,"['cafe', 'italian', 'north_indian', 'pizza']"
p_0021,Cafe Grill Spot,Kothrud,Kothrud budget cafes,18.505445,73.80949,"cafe,dessert,healthy",1,4.12,50,"cozy,group",0,"['cafe', 'dessert', 'healthy']"
p_0022,Mexican Deli Spot,Kothrud,Kothrud budget cafes,18.505862,73.809125,"dessert,italian,mexican,vegan",3,4.14,50,"cozy,live_music",0,"['dessert', 'italian', 'mexican', 'vegan']"
p_0023,Italian Bar,Kothrud,Kothrud budget cafes,18.506391,73.80723,"asian,dessert,italian",1,4.57,50,quiet,0,"['asian', 'dessert', 'italian']"
p_0024,Mexican Deli & Co,Kothrud,Kothrud budget cafes,18.51043,73.810875,"bakery,mexican",2,4.28,50,"study,outdoor,live_music",0,"['bakery', 'mexican']"
p_0025,Cafe Bar Hub,Kothrud,Kothrud budget cafes,18.508793,73.805629,cafe,3,3.61,50,"live_music,date,cozy",0,['cafe']
p_0026,Street_Food Trattoria Pune,Kothrud,Kothrud budget cafes,18.507568,73.806305,"street_food,vegan",2,4.41,50,"outdoor,quiet",0,"['street_food', 'vegan']"
